player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Deon Jackson,57189,HB,DUKE,12,170,32,4,15.0,97,0,648,1,3,32,482,52.0,11,36,154,2,45,73.4,64.4,86.8,55.6,39.3,55.3,69.6,48.1,32,0,194,21,195,269,0,0,33,191,6,648,482,2.84,3.8,0.99,104
Breece Hall,97636,HB,IOWA STATE,11,168,52,12,34.4,290,0,835,3,5,51,600,107.0,27,45,193,0,42,90.5,77.5,86.0,,65.8,59.3,78.7,83.7,75,2,207,19,196,206,7,1,22,187,9,842,614,3.63,5.0,1.06,125
Elijah Mitchell,57272,HB,LA LAFAYET,12,169,50,13,28.6,288,0,1007,2,7,50,651,123.4,34,67,207,0,15,90.5,86.0,39.5,,63.5,59.3,86.9,76.1,44,1,69,9,129,180,0,0,12,178,14,1007,651,3.85,6.0,0.53,154
Isiah Pacheco,83747,HB,RUTGERS,11,169,24,8,29.4,214,0,729,2,2,24,559,47.3,17,33,278,0,40,90.6,73.4,84.3,60.6,50.2,63.9,75.3,48.6,57,0,83,13,123,235,0,0,18,182,7,729,559,3.31,4.3,0.67,124
Moe Neal,39882,HB,SYRACUSE,12,169,23,13,40.0,342,0,855,1,5,23,447,37.4,22,38,304,0,63,90.5,74.4,86.2,,59.1,65.2,76.1,53.7,45,0,242,29,208,194,0,0,31,198,7,855,447,2.64,5.1,1.16,100
Kobe Lewis,77800,HB,C MICHIGAN,12,168,40,14,44.4,420,0,947,2,2,40,488,64.2,27,44,134,4,52,49.3,73.2,86.8,,48.7,61.0,75.0,58.8,75,0,157,22,174,196,0,0,29,190,11,947,488,2.9,5.6,0.9,113
Travis Etienne Jr.,57185,HB,CLEMSON,12,168,76,24,53.9,747,0,1386,1,8,76,899,229.3,40,61,140,3,57,63.9,90.0,85.1,41.3,59.9,79.8,90.9,56.5,90,0,289,28,156,200,0,0,29,196,16,1386,899,5.35,8.3,1.85,100
Bilal Ally,27061,HB,UMASS,12,168,35,10,37.6,323,0,860,3,2,35,443,55.8,19,44,216,0,51,90.5,76.6,84.4,,68.6,47.3,79.1,72.2,63,0,32,7,132,192,0,0,11,175,7,860,443,2.64,5.1,0.24,117
Deshawn McClease,45736,HB,VA TECH,12,167,21,12,38.9,280,0,720,0,3,21,477,38.9,16,31,337,1,68,82.1,67.2,86.9,,69.9,63.1,68.4,47.6,45,0,53,9,142,290,0,0,13,176,6,720,477,2.86,4.3,0.37,97
Treyvon Hughes,39807,HB,UTEP,12,166,31,8,29.5,201,0,682,0,0,31,519,58.0,13,43,330,0,60,90.5,79.9,50.5,,83.1,51.9,79.1,50.9,42,1,2,1,52,258,0,0,1,167,12,682,519,3.13,4.1,0.04,105
