player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Braylin Scott,51229,S,COLO STATE,10,2,10.7,71.4,96.4,26.0,18.6,0,0,2,28.6,144,67.2,67.5,83.9,54.8,66.9,66.1,0,33,23.1,3,1,0,147.6,5,135,140,1,8,7,1,78,15,0.6,15.6
Martin Nwakamma,51235,LB,RICE,11,0,2.0,90.9,84.3,15.6,14.2,0,0,0,0.0,275,57.0,54.6,82.5,53.5,54.1,64.5,0,20,0.0,0,0,0,129.5,10,166,197,0,3,11,1,86,84,0.6,8.6
Shaquille Richmond,51239,S,KANSAS,1,0,25.0,100.0,100.0,2.0,2.0,0,0,0,0.0,198,41.8,46.2,69.2,,60.1,75.3,0,17,,0,0,0,158.3,1,3,3,0,0,1,1,17,0,8.5,17.0
Justin Noye,51243,CB,DOMINION,12,0,8.8,46.9,93.9,17.3,8.1,1,0,4,12.5,263,69.4,71.5,0.0,72.1,81.1,80.0,2,60,8.3,1,4,5,59.8,15,275,293,5,11,32,2,183,116,0.7,12.2
Kahlil Haughton,51244,S,OKLAHOMA,8,1,11.9,46.7,98.2,29.7,13.9,0,0,1,6.7,261,64.6,68.7,34.9,54.2,76.1,67.6,0,14,26.7,4,0,1,55.1,7,217,221,2,10,15,0,51,37,0.2,7.3
Ethan Aguayo,51246,LB,S JOSE ST,11,3,3.6,69.0,80.0,16.5,11.4,0,0,2,6.9,285,77.3,67.1,61.6,52.7,62.3,59.3,1,23,9.4,3,1,1,68.2,20,344,430,11,26,29,0,160,114,0.5,8.0
Javon Hagan,51256,S,OHIO,11,5,10.7,59.5,99.2,16.6,9.9,0,3,4,10.8,259,85.4,79.6,16.2,58.1,69.5,64.3,2,57,15.8,6,4,2,78.8,22,391,394,7,27,37,1,361,194,1.0,16.4
Brandon Tillmon,51259,LB,LIBERTY,10,1,5.9,65.2,83.8,16.1,10.5,0,1,1,4.3,206,61.5,63.2,48.2,72.2,60.3,64.5,0,31,14.3,2,1,1,102.8,15,249,297,9,11,23,1,176,114,0.7,11.7
Daryus Thompson,51261,S,MIAMI OH,5,0,8.1,77.8,89.2,7.1,5.5,0,0,2,11.1,221,56.4,57.3,82.5,66.4,56.3,61.5,0,27,16.7,1,1,1,121.3,14,107,120,3,5,18,1,156,67,1.6,11.1
C.J. Levine,51265,S,UTSA,12,2,6.7,69.8,95.8,10.9,7.6,0,0,5,11.6,331,80.3,77.3,54.0,58.4,72.3,85.7,1,58,7.1,3,4,2,114.5,30,345,360,14,37,43,4,340,195,1.0,11.3
Ben DeLuca,51269,S,CHARLOTTE,12,5,9.0,61.5,100.0,22.7,14.0,0,0,4,15.4,136,80.8,85.0,50.7,,89.5,89.1,1,75,3.4,1,4,2,104.3,16,377,377,5,23,26,2,258,139,0.7,16.1
Drue Tranquill,51276,LB,NOTRE DAME,12,1,4.9,78.1,85.6,14.6,11.4,0,2,2,6.3,258,81.0,79.8,87.7,68.8,75.0,73.6,0,26,7.4,2,2,2,91.1,25,380,444,19,24,32,0,188,121,0.5,7.5
Mike Edwards,51282,S,KENTUCKY,12,5,10.8,60.0,95.5,13.3,8.0,0,1,7,15.6,202,77.3,81.7,89.2,80.5,82.7,69.1,2,49,16.3,8,5,1,88.7,27,384,402,15,36,45,3,355,140,1.0,13.1
Kristian Welch,51283,LB,IOWA,10,4,2.3,77.3,87.6,7.6,5.9,0,0,1,4.5,192,64.4,64.3,83.9,58.7,62.7,73.0,1,33,10.5,2,1,0,72.9,17,134,153,3,13,22,0,134,111,1.0,7.9
Tyrone Miller Jr.,51299,CB,KANSAS,4,1,5.7,33.3,100.0,37.0,12.3,0,0,1,33.3,198,75.8,64.4,81.9,,30.0,25.7,0,0,0.0,0,1,0,42.4,1,41,41,1,1,3,0,0,4,0.0,0.0
Khari Willis,51304,S,MICH STATE,12,7,5.8,71.7,97.3,12.8,9.2,0,2,4,7.5,223,80.9,83.0,90.2,70.8,79.8,83.1,2,38,10.4,5,3,0,76.8,38,510,524,12,36,53,0,391,219,0.8,10.3
Jontrell Rocquemore,51307,S,UTAH ST,12,1,1.6,86.2,78.2,10.2,8.8,0,0,1,3.4,329,76.6,80.3,91.1,68.9,82.7,64.9,3,28,25.9,7,1,0,75.5,25,279,357,8,19,29,2,177,154,0.7,7.1
Jordan Mitchell,51309,S,TULSA,6,3,17.5,50.0,100.0,24.0,12.0,0,0,0,0.0,320,51.6,62.8,80.0,,79.7,90.0,0,24,0.0,0,0,0,86.5,2,49,49,0,1,4,0,41,5,0.9,20.5
Jonathan Crawford,51325,S,INDIANA,12,4,12.9,56.0,97.8,11.5,6.5,0,2,5,10.0,190,72.5,76.0,88.6,68.9,78.6,76.6,1,39,18.2,6,4,2,105.2,28,349,357,10,23,50,5,377,171,1.2,13.5
Ashton Preston,51328,CB,N TEXAS,1,0,,,100.0,,,0,0,0,,251,60.0,60.5,65.9,,,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Tyrell Gilbert,51331,CB,CINCINNATI,11,0,14.4,53.7,98.7,10.0,5.4,0,1,7,17.1,138,80.5,81.2,84.3,54.4,79.1,88.5,1,72,0.0,0,7,1,104.1,22,233,236,6,12,41,4,344,78,1.6,15.6
Will Harris,51336,S,BOSTON COL,12,5,10.1,64.3,92.4,24.8,15.9,0,0,2,7.1,121,73.9,74.0,33.8,63.3,75.8,74.2,1,70,8.3,3,1,2,97.9,18,460,498,1,28,28,1,304,150,0.7,16.9
Jordan Mack,51337,LB,VIRGINIA,8,1,1.4,66.7,81.3,20.5,13.7,0,0,1,8.3,335,64.1,56.0,43.0,64.3,50.6,71.5,0,21,28.6,2,1,1,75.7,8,170,209,4,4,12,0,52,35,0.3,6.5
Delvon Randall,51338,S,TEMPLE,12,3,10.5,45.7,98.9,25.7,11.7,0,3,6,17.1,306,88.5,83.5,9.0,57.9,76.2,74.1,3,30,11.5,3,4,3,51.1,16,439,444,9,20,35,3,152,42,0.4,9.5
J.T. Ibe,51340,S,S CAROLINA,4,0,13.0,50.0,97.3,69.0,34.5,0,0,0,0.0,289,70.5,64.4,81.3,58.6,48.4,58.8,0,15,12.5,1,0,0,75.0,1,72,74,0,7,2,0,15,9,0.2,15.0
Micah Abernathy,51344,S,TENNESSEE,8,1,5.9,68.4,92.8,15.2,10.4,0,0,4,21.1,307,71.1,75.9,87.1,71.0,81.3,72.7,0,44,20.0,3,3,0,113.0,13,207,223,5,11,19,1,166,107,0.8,12.8
Gavin Graham,51354,LB,TEXAS ST,9,1,3.0,100.0,68.6,14.3,14.3,0,0,0,0.0,314,65.1,69.8,84.0,61.9,72.0,68.7,0,10,25.0,2,0,0,87.5,4,59,86,3,5,4,0,20,8,0.4,5.0
Will Harper,51355,S,TULANE,12,2,4.1,75.0,80.9,13.3,9.9,0,0,1,6.3,319,55.7,62.9,83.2,60.6,72.0,44.1,1,29,35.0,7,1,0,68.2,12,174,215,3,11,16,0,114,75,0.7,9.5
