player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Ikaika Woolsey,46495,QB,HAWAII,5,57.0,86,91,12.1,2.85,0,2,2.0,48.4,44,0,36,10.2,104,5,29,180,40.7,47.0,47.0,55.1,0,6,115,2,13.9,66.4,4.8,5,8,0,5,6,9,7.8,644,7.1
Perry Orth,46435,QB,S CAROLINA,4,75.6,86,90,9.7,2.43,2,6,6.5,63.3,57,0,28,12.3,99,8,28,289,73.5,78.8,80.1,56.8,0,2,102,1,28.6,76.2,8.1,8,1,0,2,0,3,2.9,661,7.3
Dalton Sneed,28975,QB,UNLV,7,57.3,82,89,11.1,2.81,5,8,8.4,44.9,40,0,37,14.9,115,7,32,325,39.8,63.9,49.3,77.2,0,2,121,0,13.5,78.5,4.3,5,17,0,2,5,5,4.1,633,7.1
Ahmad Bradshaw,46451,QB,ARMY,11,48.1,81,88,17.1,2.74,2,3,3.2,43.2,38,0,45,2.6,96,1,27,114,27.7,40.8,42.3,45.2,5,9,103,2,13.3,44.4,6.3,6,2,0,0,4,11,10.7,650,7.4
Maurice Alexander,33465,QB,FIU,8,68.3,82,87,9.3,3.07,2,2,2.1,58.6,51,0,51,8.9,122,5,37,166,76.5,57.2,48.3,69.0,1,6,129,0,31.4,59.2,13.1,16,19,0,2,2,8,6.2,613,7.0
Grant Rohach,46510,QB,BUFFALO,7,61.0,82,84,11.1,2.64,2,3,3.4,54.8,46,0,39,8.0,106,4,33,126,25.9,45.4,52.5,39.4,0,2,110,0,30.8,76.9,11.3,12,9,0,0,2,6,5.5,628,7.5
Favian Upshaw,46554,QB,GA SOUTHRN,8,63.5,74,84,10.7,2.84,1,5,5.6,54.8,46,0,40,2.1,104,1,35,174,34.7,55.2,55.9,56.0,2,2,109,0,12.5,84.1,4.8,5,15,0,7,4,5,4.6,614,7.3
Zach Kline,46602,QB,FRESNO ST,6,72.6,73,80,9.4,3.19,1,2,2.4,53.8,43,0,50,18.9,107,10,24,169,46.2,58.0,61.6,52.2,0,2,113,0,22.0,63.4,10.3,11,15,0,6,0,3,2.7,518,6.5
Donovan Williams,39998,QB,UCONN,3,57.4,68,76,7.8,2.36,2,1,1.3,47.4,36,0,29,7.7,96,3,18,146,27.4,28.6,27.5,52.6,3,5,101,0,41.4,35.0,12.5,12,8,0,3,1,10,9.9,300,3.9
Jared Johnson,24589,QB,UTSA,6,59.7,72,75,9.0,2.37,3,3,3.8,54.7,41,0,24,4.7,87,2,31,331,36.1,53.9,49.6,62.2,0,1,91,0,37.5,91.2,10.3,9,3,0,0,4,6,6.6,564,7.5
Justin Holman,46581,QB,UCF,5,55.1,69,75,13.8,2.82,2,4,5.3,44.0,33,0,26,13.2,91,5,22,323,41.2,46.4,41.5,58.1,1,2,93,0,26.9,67.9,7.7,7,8,1,2,3,5,5.4,484,6.5
Seth Shuman,40305,QB,GA SOUTHRN,5,64.6,65,72,7.6,2.69,2,2,2.7,47.2,34,0,38,19.0,77,8,24,174,71.9,64.6,61.0,68.6,0,3,78,0,2.6,49.4,1.3,1,4,0,5,1,2,2.6,357,5.0
Lamar Jordan,29577,QB,NEW MEXICO,10,57.1,70,72,13.7,2.57,0,9,12.2,52.8,38,0,32,5.0,84,2,27,241,50.2,66.8,66.7,63.0,1,4,86,3,21.9,86.0,8.3,7,5,0,1,6,6,7.0,610,8.5
Tyrrell Pigrome,46511,QB,MARYLAND,8,61.8,68,71,9.1,3.09,0,1,1.4,52.1,37,0,32,11.9,102,5,23,215,77.8,45.3,33.4,63.1,0,2,102,0,34.4,62.1,10.8,11,20,0,3,2,7,6.9,322,4.5
Ross Trail,13684,QB,CINCINNATI,3,70.6,68,70,7.5,2.48,0,2,2.8,65.7,46,0,12,4.2,80,2,28,138,53.6,39.3,30.7,69.3,0,6,82,0,41.7,55.1,6.3,5,4,0,2,1,8,9.8,490,7.0
Mylik Mitchell,26942,QB,KENT STATE,4,63.5,63,68,9.9,3.13,1,3,4.2,55.9,38,0,36,5.0,100,2,24,201,31.9,49.3,46.5,58.3,0,1,104,1,33.3,89.5,12.0,12,20,0,4,5,7,6.7,366,5.4
Garet Morrell,40248,QB,MARSHALL,5,59.7,67,68,9.3,2.51,0,3,4.2,50.0,34,0,19,15.0,78,6,11,214,33.0,38.0,34.2,64.7,0,3,83,3,26.3,62.9,6.4,5,5,0,1,4,9,10.8,293,4.3
Jackson Tyner,36073,QB,RICE,3,64.3,56,67,7.7,2.53,1,1,1.4,47.8,32,0,16,11.1,70,4,13,275,56.0,50.0,43.1,62.5,0,1,73,0,18.8,65.4,4.3,3,0,0,10,2,3,4.1,318,4.7
Matt Johns,24210,QB,VIRGINIA,6,68.9,61,64,8.4,2.59,0,4,6.1,56.3,36,0,27,14.3,70,6,18,335,70.8,66.7,71.1,40.5,0,5,72,0,11.1,47.3,4.3,3,3,1,2,2,6,8.3,314,4.9
Anu Solomon,46599,QB,ARIZONA,5,64.4,59,63,11.6,3.01,0,2,2.9,58.7,37,0,43,2.6,84,1,20,109,25.1,53.4,64.5,32.6,0,2,89,0,27.9,73.6,14.3,12,9,0,4,1,5,5.6,462,7.3
Ryker Fyfe,46588,QB,NEBRASKA,7,63.8,58,63,7.5,2.51,0,0,0.0,49.2,31,0,29,16.2,70,6,19,238,72.0,52.5,49.1,65.7,2,1,72,0,17.2,67.9,7.1,5,2,0,3,2,3,4.2,315,5.0
Ross Comis,46584,QB,UMASS,4,61.1,54,63,11.4,2.93,1,5,7.6,44.4,28,0,42,15.2,91,5,19,216,38.0,58.1,59.3,55.1,1,1,95,0,28.6,62.3,13.2,12,15,0,7,1,6,6.3,370,5.9
Cole Garvin,40388,QB,S ALABAMA,4,71.7,60,62,10.3,2.35,1,6,9.4,56.5,35,0,23,18.6,72,8,23,288,73.3,71.5,67.7,69.5,0,1,74,0,30.4,95.4,9.7,7,3,0,1,4,3,4.1,468,7.5
Josh Love,34044,QB,S JOSE ST,5,63.8,58,60,10.3,2.57,1,4,6.5,51.7,31,0,25,16.2,72,6,19,285,28.2,44.2,47.5,38.3,1,5,74,0,44.0,48.8,15.3,11,1,0,0,2,9,12.2,392,6.5
Drew Hare,46600,QB,N ILLINOIS,2,78.2,55,59,7.9,2.65,3,4,6.8,62.7,37,0,25,14.0,66,6,17,254,73.8,73.8,85.3,41.3,0,0,66,0,12.0,101.3,4.5,3,3,0,1,3,0,0.0,425,7.2
George Bollas,38869,QB,KENT STATE,7,66.0,53,59,10.0,2.75,0,3,5.0,45.8,27,0,22,22.9,70,8,16,201,31.1,50.1,55.8,45.5,2,2,71,1,22.7,65.9,7.1,5,5,0,4,2,4,5.6,403,6.8
