player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
John Rhys Plumlee,97602,QB,UCF,9,71,16,4,12.6,66,0,369,0,0,13,186,48.0,18,27,323,4,31,59.4,89.7,87.2,82.5,,54.0,80.2,60.3,32,1,0,0,3,288,153,13,0,71,5,522,250,2.98,6.2,0.0,24
Andrew Peasley,83581,QB,WYOMING,11,46,25,5,21.0,114,0,228,0,0,11,50,26.0,18,36,351,6,9,65.4,85.2,77.1,76.4,,,81.5,60.0,43,1,0,0,0,289,314,37,0,46,7,542,188,2.27,6.5,,25
Dontae Smith,77717,HB,GA TECH,9,83,15,2,23.6,103,0,436,0,3,15,259,61.7,12,27,176,0,43,85.9,81.2,15.6,,77.0,66.2,82.3,61.0,70,1,85,8,80,100,0,0,9,91,3,436,259,3.12,5.3,1.06,40
Cameron Ward,133244,QB,WASH STATE,12,47,8,1,5.7,22,0,110,0,0,2,48,4.3,16,35,341,14,25,27.9,80.6,89.4,78.0,,49.3,69.7,60.6,22,1,0,0,7,217,274,36,0,47,8,384,191,2.3,4.6,0.0,3
Keegan Shoemaker,108983,QB,SM HOUSTON,11,64,11,6,32.4,128,0,316,0,0,9,137,29.6,13,21,281,9,33,60.0,68.9,89.2,68.0,62.2,44.6,61.7,60.4,29,5,1,1,5,309,79,19,2,65,1,395,168,2.02,4.8,0.2,18
Darvon Hubbard,124320,HB,TEMPLE,12,82,19,8,46.0,194,0,422,3,8,19,311,93.9,10,20,306,2,30,57.9,67.7,84.4,60.0,35.4,62.4,73.9,58.0,49,0,249,27,206,105,0,0,34,109,3,422,311,3.79,5.1,1.21,50
Johnny Richardson,123760,HB,UCF,12,82,25,11,57.9,308,0,532,0,4,25,235,87.5,12,18,323,0,25,86.3,76.6,27.5,,47.0,65.1,79.2,55.8,79,1,47,13,79,142,0,0,16,95,1,532,235,2.87,6.5,0.59,40
Rashod Dubinion,157020,HB,ARKANSAS,10,82,21,2,11.7,30,0,257,0,3,21,186,56.7,6,17,111,2,24,70.0,64.8,83.9,,9.5,74.9,65.7,47.4,15,0,85,14,108,119,0,0,15,96,1,257,186,2.27,3.1,0.79,57
Josh Henderson,99594,HB,INDIANA,8,82,14,4,23.8,81,0,340,1,4,14,226,53.9,10,18,190,1,35,70.6,71.0,83.4,,49.2,73.4,72.2,51.1,29,0,125,10,110,142,0,0,14,92,2,340,226,2.76,4.1,1.14,46
Jordan McCloud,101058,QB,JAMES MAD,12,56,11,6,35.5,144,0,228,0,0,1,75,2.4,11,25,197,5,18,46.0,82.1,72.1,79.4,,57.6,69.6,60.0,47,6,0,0,1,334,178,26,0,56,8,406,198,2.41,5.0,0.0,15
Terron Kellman,158048,HB,CHARLOTTE,8,82,28,5,24.7,81,0,328,1,1,28,218,91.8,9,17,136,0,56,85.9,66.5,14.7,,61.8,48.1,70.3,41.0,18,1,23,2,62,101,0,0,5,84,1,328,218,2.66,4.0,0.37,26
Dawson Pendergrass,174637,HB,BAYLOR,11,81,26,3,18.7,65,0,348,2,5,26,271,98.8,7,25,118,0,17,85.8,71.7,34.7,,53.6,69.6,75.5,50.7,31,1,189,24,156,111,0,0,30,105,5,348,271,3.35,4.3,1.21,63
