player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Jose Barbon,78032,WR,TEMPLE,12,36.0,0,306,63.7,,58.8,0,0,0,0.0,0.0,,0,0,0,209,0,0,0,580,0,369,0,0,209,0
Eli Pancol,97995,WR,DUKE,12,48.4,0,154,59.2,,67.3,0,0,0,0.0,0.0,,0,0,0,209,0,0,0,432,0,223,0,0,209,0
Jared Sparks,40215,WR,LA MONROE,11,44.5,0,209,61.1,66.8,51.9,0,0,1,0.4,0.4,100.0,1,0,0,209,0,0,0,470,1,262,0,0,208,21
Matt Lynch,40546,TE,COLORADO,12,77.1,0,143,61.4,63.5,65.4,0,2,26,32.1,30.7,96.2,1,2,0,209,0,0,0,271,27,88,0,0,182,246
Dequan Finn,97804,QB,TOLEDO,12,38.2,0,316,78.0,,60.0,0,0,0,0.0,0.0,,1,0,0,209,0,0,0,547,0,280,0,0,209,0
Joshua Lingenfelter,121584,TE,ARMY,11,94.1,0,114,82.0,23.2,78.5,0,0,5,29.4,31.6,100.0,2,0,0,209,0,0,39,222,6,19,0,41,203,116
Demarcus Gregory,84300,WR,USF,12,51.6,0,327,59.9,,60.3,0,0,0,0.0,0.0,,2,0,0,209,0,0,0,405,0,196,0,0,209,0
Isaiah Alston,121550,WR,ARMY,11,71.6,0,114,89.9,65.4,54.2,0,0,1,1.2,1.2,100.0,1,0,0,209,0,0,0,292,1,84,0,0,208,89
Johnny Johnson III,61588,WR,OREGON,10,53.2,1,264,71.5,,71.1,0,0,0,0.0,0.0,,1,0,0,207,0,0,0,389,0,182,0,0,207,1
Casey Washington,101710,WR,ILLINOIS,12,42.5,0,187,58.7,,67.0,0,0,0,0.0,0.0,,1,0,0,207,0,0,0,487,0,280,0,0,207,0
