player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Nico Bolden,60704,S,KENT STATE,11,0,0,201,55.2,0,1,5,1.3,0.0,0,2,10.0,0,380,5,1,0,55.4,0,1,4,4.0,0.0,0,12.5,0,99,4,1
Alvin Floyd,60721,S,OHIO,11,0,0,259,67.5,0,1,16,5.0,18.8,3,2,15.6,2,363,18,3,0,61.0,0,1,5,3.0,20.0,1,10.0,0,165,5,1
Robert Barnes,60726,LB,COLORADO,12,0,0,143,51.1,1,5,62,28.1,1.6,1,1,4.8,0,235,66,6,0,53.3,1,3,18,24.3,5.6,1,11.1,0,74,18,4
Thabo Mwaniki,60729,S,HOUSTON,11,0,0,182,53.6,0,1,5,1.7,0.0,0,0,10.0,0,292,5,1,0,56.2,0,0,2,2.6,0.0,0,0.0,0,78,2,0
Jonathan Sutherland,60739,S,PENN STATE,12,1,0,266,61.7,1,8,56,25.9,5.4,3,0,9.8,1,224,58,10,0,58.7,0,3,15,23.6,13.3,2,10.0,0,72,17,3
A.J. DeShazor Jr.,60748,LB,S ALABAMA,8,0,0,288,57.6,0,3,23,32.5,8.7,2,0,10.9,1,77,25,4,0,60.5,0,1,8,31.3,12.5,1,18.8,1,32,10,2
Tyler Murray,60765,LB,MEMPHIS,12,0,0,218,67.8,1,11,56,17.4,12.5,7,1,10.7,0,362,63,12,0,61.9,0,6,18,13.2,22.2,4,16.7,0,144,19,6
Will Boler,60771,S,UAB,12,0,0,321,56.1,0,1,5,2.0,0.0,0,2,10.0,0,248,5,1,0,59.6,0,0,1,2.5,0.0,0,0.0,0,40,1,0
Derrek Pitts,60785,CB,NC STATE,11,0,1,248,57.4,0,0,5,2.7,20.0,1,8,0.0,0,301,8,0,0,61.1,0,0,3,6.6,33.3,1,0.0,0,61,4,0
Exree Loe,60790,LB,W VIRGINIA,12,1,1,343,59.4,0,1,21,8.0,4.8,1,1,2.4,0,286,23,1,0,61.0,0,0,6,9.7,16.7,1,0.0,0,62,6,0
Andre Landry,60938,ED,LA LAFAYET,12,2,0,207,57.4,3,1,94,99.0,1.1,1,1,2.1,0,100,99,4,1,62.1,2,0,25,100.0,4.0,1,4.0,0,27,27,2
Jack Camper,60962,ED,VIRGINIA,8,0,0,335,55.6,0,3,68,90.8,5.9,4,1,2.2,0,76,69,3,0,53.1,0,1,25,86.7,8.0,2,2.0,0,30,26,1
Keion White,60998,ED,GA TECH,12,1,0,176,75.8,4,30,254,91.0,16.9,43,3,9.4,7,301,274,41,0,74.3,1,19,94,91.2,28.7,27,12.8,2,114,104,22
Kendall Smith,61314,S,ILLINOIS,12,0,0,187,66.1,1,1,9,2.8,11.1,1,2,11.1,0,359,10,2,0,59.7,0,1,5,4.1,20.0,1,10.0,0,147,6,1
Tyson Williams,61499,S,NEVADA,12,0,1,239,64.1,1,4,29,7.8,6.9,2,2,15.5,2,370,29,7,0,64.0,1,1,16,12.9,6.3,1,12.5,1,124,16,3
Daiyan Henley,61500,LB,WASH STATE,12,0,0,341,75.1,3,10,61,16.5,18.0,11,0,18.9,5,405,67,18,0,73.0,2,4,32,22.7,12.5,4,21.9,4,154,35,10
Dadrian Taylor,61789,LB,UTSA,11,1,0,331,65.8,3,7,81,29.3,7.4,6,4,7.4,1,294,86,11,0,64.4,1,3,19,22.7,21.1,4,15.8,1,97,22,5
Alex Cook,61805,S,WASHINGTON,12,0,0,340,54.7,0,0,7,1.6,0.0,0,3,0.0,0,427,7,0,0,56.5,0,0,3,2.0,0.0,0,0.0,0,147,3,0
Lonnie Phelps,62497,ED,KANSAS,12,0,0,198,87.0,3,18,242,90.2,16.5,40,8,7.6,8,285,257,29,0,90.0,1,13,103,91.2,24.3,25,12.6,6,125,114,20
Diego Neri,62732,LB,BOWL GREEN,4,0,0,122,55.3,0,0,3,10.0,0.0,0,0,0.0,0,30,3,0,0,55.3,0,0,3,21.4,0.0,0,0.0,0,14,3,0
Darrius Bratton,62772,CB,VIRGINIA,8,1,0,335,79.7,0,3,5,3.3,0.0,0,0,30.0,0,152,5,3,0,,0,0,0,0.0,,0,,0,75,0,0
Kaleb Oliver,62915,S,W KENTUCKY,13,0,3,346,71.5,2,6,34,9.4,5.9,2,5,17.6,2,373,35,10,0,88.2,0,3,7,6.7,28.6,2,50.0,2,105,7,5
Maurese Smith,62930,DI,TENNESSEE,2,0,0,307,58.5,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,58.8,0,0,2,100.0,0.0,0,0.0,0,2,2,0
Kivon Bennett,62934,ED,ARK STATE,11,2,0,113,88.3,2,30,298,100.0,15.8,47,4,7.7,7,327,327,39,0,84.2,2,17,98,100.0,21.4,21,11.7,2,105,105,21
Shanon Reid,62950,LB,SMU,12,1,0,287,61.2,0,4,20,11.7,5.0,1,1,10.0,0,171,20,4,0,56.9,0,2,8,18.2,0.0,0,12.5,0,44,8,2
Will Ignont,62951,LB,W KENTUCKY,13,0,0,346,53.7,2,2,41,16.4,0.0,0,1,4.9,0,256,42,4,0,58.0,1,0,8,16.7,0.0,0,6.3,0,54,9,1
Solon Page III,62952,LB,TENNESSEE,12,0,0,307,67.7,0,6,26,17.8,15.4,4,0,15.4,1,152,27,7,0,61.4,0,3,12,22.4,16.7,2,12.5,0,58,13,3
Nick Humphrey,62953,LB,TENNESSEE,1,0,0,307,66.4,0,0,2,18.2,50.0,1,0,0.0,0,11,2,0,0,,0,0,0,0.0,,0,,0,4,0,0
LaTrell Bumphus,62977,DI,TENNESSEE,12,1,0,307,50.3,1,14,219,98.7,0.5,1,0,3.4,0,238,235,15,1,52.2,1,10,96,97.2,1.0,1,5.7,0,108,105,11
Jaquan Amos,63074,S,BALL ST,12,0,0,117,75.0,0,3,23,5.2,21.7,5,4,10.9,1,459,24,4,0,68.2,0,1,5,5.0,40.0,2,10.0,0,119,6,1
George Tarlas,63149,ED,BOISE ST,7,1,0,120,78.8,3,18,121,99.2,20.7,25,0,12.0,4,130,129,25,0,82.3,1,5,34,100.0,29.4,10,11.8,1,35,35,7
Lorenzo Hernandez,63161,DI,W KENTUCKY,13,1,0,346,67.1,2,15,227,100.0,7.9,18,0,4.6,2,233,233,19,0,67.3,1,6,54,100.0,11.1,6,8.3,1,54,54,8
Zack Woodard,63327,LB,LA MONROE,12,0,0,209,68.4,3,13,39,16.2,20.5,8,0,25.6,2,259,42,18,0,56.3,1,2,13,20.0,7.7,1,19.2,1,70,14,4
Deylon Williams,63365,ED,UTEP,12,0,0,330,55.3,1,4,66,94.3,4.5,3,0,3.8,0,70,66,5,0,67.1,0,2,13,86.7,23.1,3,7.7,0,15,13,2
Noah Wilder,63376,LB,UAB,12,0,0,321,67.2,0,6,19,5.6,21.1,4,0,15.8,0,339,19,6,0,85.9,0,3,9,18.4,44.4,4,16.7,0,49,9,3
Christian Dixon,63397,LB,MIDDLE TN,12,0,0,224,79.8,4,8,82,31.1,20.7,17,0,11.0,3,270,84,15,0,86.3,3,5,30,35.7,33.3,10,23.3,3,84,30,11
Darius Joiner,63618,S,DUKE,12,0,0,154,87.3,3,7,30,6.0,6.7,2,1,26.7,3,497,30,13,0,89.9,1,2,11,6.1,0.0,0,40.9,3,179,11,6
Kam Butler,63872,ED,VIRGINIA,10,0,0,335,69.0,5,17,287,96.5,9.8,28,3,5.2,4,316,305,26,0,73.5,1,13,134,95.4,14.9,20,8.2,4,153,146,18
John Wesley Whiteside,64155,DI,C MICHIGAN,12,0,0,134,70.2,1,11,218,100.0,9.6,21,2,3.2,1,227,227,13,0,64.4,1,7,98,100.0,11.2,11,4.1,0,102,102,8
Reynard Ellis,64363,LB,UAB,10,1,0,321,72.8,2,6,43,31.7,16.3,7,1,11.6,1,142,45,9,0,72.1,1,1,15,58.6,20.0,3,13.3,1,29,17,3
Sean-Thomas Faulkner,64395,S,N TEXAS,12,0,0,251,57.5,0,1,15,3.2,6.7,1,0,3.3,0,495,16,1,0,56.4,0,1,3,4.2,0.0,0,16.7,0,72,3,1
Adrian Hope,64444,ED,COAST CAR,11,0,0,141,90.2,3,27,150,92.4,22.7,34,0,14.0,6,171,158,36,0,83.0,1,12,45,96.0,28.9,13,23.3,4,50,48,17
Robi Stuart,65032,DI,C MICHIGAN,12,0,0,134,69.2,3,8,211,100.0,9.0,19,3,3.6,2,222,222,13,0,71.2,1,8,87,100.0,14.9,13,7.5,2,94,94,11
Josh Minkins,66051,S,LOUISVILLE,12,0,0,210,60.0,0,1,11,2.9,0.0,0,4,13.6,1,380,11,2,0,63.0,0,0,6,5.2,0.0,0,16.7,1,116,6,1
Xavier Henderson,66267,S,MICH STATE,7,0,0,223,54.9,0,3,13,7.1,0.0,0,0,11.5,0,212,15,3,0,51.6,0,2,6,6.7,0.0,0,16.7,0,104,7,2
Ty Hamilton,66298,DI,OHIO STATE,12,1,0,260,67.6,1,9,131,100.0,7.6,10,0,3.8,0,136,136,10,0,76.8,0,6,39,100.0,17.9,7,7.7,0,39,39,6
