player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Calvin Throckmorton,28238,G,TEN,10,100.0,0,31,47.9,57.8,41.1,4,14,365,100.0,100.0,97.5,2,18,0,564,0,200,0,564,389,389,364,0,175,0
Andre Dillard,29250,T,TEN,12,100.0,0,31,51.0,47.4,56.6,9,20,305,100.0,100.0,91.3,5,41,12,562,0,0,562,562,331,331,0,0,231,0
James Hudson III,59854,T,CLV,15,99.8,2,8,46.8,51.1,52.9,7,18,300,99.7,99.7,94.5,9,29,4,555,0,0,35,556,321,322,0,493,234,27
Tyre Phillips,59874,T,NYG,10,100.0,0,21,52.7,64.5,40.0,2,17,317,100.0,100.0,96.4,3,21,2,552,0,0,0,552,334,334,0,551,218,1
Robert Hunt,46139,G,MIA,10,100.0,1,17,77.1,74.5,75.9,1,3,314,100.0,100.0,99.0,2,5,1,547,0,0,0,547,329,329,547,0,218,0
Cam Robinson,11789,T,JAX,9,100.0,1,15,65.4,78.8,51.0,2,8,306,100.0,100.0,97.4,3,13,3,535,0,0,525,535,325,325,0,0,210,10
Sua Opeta,45110,G,PHI,9,100.0,1,24,53.2,57.9,50.5,2,20,302,100.0,100.0,95.4,2,25,3,528,0,134,0,528,311,311,394,0,217,0
Terron Armstead,7856,T,MIA,10,100.0,0,17,80.9,79.5,75.9,0,5,302,100.0,100.0,98.8,3,6,1,524,0,0,524,524,317,317,0,0,207,0
Thayer Munford Jr.,59994,T,LV,14,100.0,0,23,74.1,59.2,80.4,5,19,291,100.0,100.0,94.5,1,28,4,521,0,0,208,521,303,303,0,263,218,49
Mark Glowinski,9567,G,NYG,13,99.8,1,21,64.8,53.4,69.6,1,17,281,99.6,99.7,94.7,4,24,6,520,0,202,0,521,303,304,291,0,217,16
